aceite,u_max,t_y_dermal_max_pct,reference,note
Clavo,0.05,0.5,Tisserand & Young (2014),Eugenol ~70%; fuerte sensibilizante dermico
Canela,0.06,0.6,Tisserand & Young (2014),"C. verum hoja, tipo eugenol; ~80% eugenol"
Cananga,0.08,0.8,Tisserand & Young (2014),Sensibilizante floral
Ylang Ylang,0.08,0.8,Tisserand & Young (2014),Misma especie que Cananga odorata
Orégano,0.11,1.1,Tisserand & Young (2014),Timol 49.8% + carvacrol; irritante dermico
Salvia,0.13,1.3,Tisserand & Young (2014),S. officinalis; alcanfor y alfa-tujona potencialmente toxicos
Tomillo,0.13,1.3,Tisserand & Young (2014),Timol 61.6%; irritante dermico
Nardo,0.25,2.5,Tisserand & Young (2014),Valerianatos; posible sensibilizante
Incienso,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Petitgrain,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Limón,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Cilantro,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Eucalipto Limón,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Limoncillo,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Citronela,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Cardamomo,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Hinojo,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Baya de Enebro,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Lavanda,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Árbol de Té,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Menta,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Hierbabuena,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Albahaca,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Tulsi,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Mejorana,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Geranio,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Pimienta Negra,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Pachulí,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Romero,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Sándalo,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
Jengibre,0.4,,Criterio general aromaterapia,Sin restriccion especifica; limite por buenas practicas (max 40%)
